Match date,Matches,Team,InStat Index,Goals,Chances,Chances successful,Fouls,Yellow cards,Red cards,Tactics,Offsides,Corner,Shots,Shots on target,Passes,"Accurate passes, %",Key passes,Key passes accurate,Crosses,"Accurate crosses, %",Challenges,"Challenges won, %",Defensive challenges,"Challenges in defence won, %",Attacking challenges,"Challenges in attack won, %",Air challenges,"Air challenges won, %",Dribbles,"Successful dribbles, %",Tackles,"Tackles won, %",Lost balls,Lost balls in own half,Ball recoveries,Ball recoveries in opponent's half,Team pressing,"Pressing efficiency, %","Ball possession, %",Entrances to the opposition half,Entrances to the final third,Entrance to the penalty box,Total actions,Successful actions,"Successful actions, %","Shots on target, %",Shots wide,Blocked shots,Shots on post / bar,Accurate passes,Crosses accurate,Positional attacks,Positional attacks with shots,% of efficiency for positional attacks,Counter-attacks,Counter-attacks with a shot,% of efficiency for counterattacks,Set pieces attacks,Attacks with shots - Set pieces attacks,% of efficiency for set-piece attacks,Free-kick attacks,Free-kick attacks with shots,% of efficiency for free-kick attacks,Corner attacks,Corner attacks with shots,% of efficiency for corner attacks,Throw-in attacks,Throw-in attacks with shots,% of efficiency for throw-in attacks,Free-kick shots,Goals - Free-kick attack,% scored free kick shots,Penalties,"Penalties
 scored","Penalties scored, %",Team pressing successful,Opponent's passes per defensive action,Building-ups,Building-ups without pressing,High pressing,High pressing successful,"High pressing, %",Low pressing,Low pressing successful,"Low pressing, %","Ball possession, sec","Ball possessions, quantity",xG (Expected goals),Opponent's xG,Net xG (xG - Opponent's xG),Expected points,xG conversion,xG per shot,Opponent's xG per shot,xG per goal,Opponent's xG per goal,home_Away
19-09-20,Lugano 2 : 1 Luzern,LUG,226,2,6,2,7,3,1,3-5-2*,2,2,8,4,284,76%,9,5,7,29%,141,52%,74,62%,67,42%,39,41%,14,57%,26,69%,72,9,53,7,10,50%,34%,51,34,10,572,423,74%,50%,3,1,0,217,2,52,7,13%,19,1,5%,5,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,6.15,17,3,4,2,50%,6,3,50%,1057.62,103,1.43,0.89,0.54,2,1.4,0.18,0.06,0.72,0,h
19-09-20,Lugano 2 : 1 Luzern,LUZ,205,1,5,1,16,1,0,4-2-3-1,0,3,16,6,625,87%,3,2,34,24%,141,48%,67,58%,74,38%,39,59%,17,47%,20,60%,71,10,52,6,14,43%,66%,74,52,14,935,758,81%,38%,3,6,1,541,8,79,11,14%,14,1,7%,7,3,43%,3,0,0,3,3,100%,1,0,0,0,0,0,0,0,0,6,3.56,32,22,5,2,40%,9,4,44%,2038.97,109,0.89,1.43,0.54,0.5,0,0.06,0.18,0,0.72,a
19-09-20,Young Boys 2 : 1 Zurich,YB,236,2,14,2,11,1,1,4-4-2c,0,14,21,10,502,84%,12,7,21,24%,176,51%,87,55%,89,46%,57,47%,29,52%,21,67%,61,6,40,8,6,50%,62%,85,65,29,843,656,78%,48%,6,4,1,421,5,76,9,12%,12,1,8%,21,10,48%,5,2,40%,14,7,50%,2,1,50%,1,0,0,0,0,0,3,2.92,31,25,2,1,50%,4,2,50%,1742.38,112,3.86,0.59,3.27,2.7,0.52,0.18,0.07,1.93,0.59,h
19-09-20,Young Boys 2 : 1 Zurich,ZUR,207,1,2,1,12,2,1,4-4-2c,3,4,9,5,287,77%,3,1,3,0,176,49%,89,54%,87,45%,57,53%,15,47%,38,61%,60,12,43,5,6,33%,38%,56,37,13,609,446,73%,56%,3,1,0,222,0,48,3,6%,18,1,6%,11,4,36%,5,2,40%,4,1,25%,2,1,50%,1,0,0,0,0,0,2,4.39,16,10,2,2,100%,4,0,0,1055.6,97,0.59,3.86,3.27,0.1,1.69,0.07,0.18,0.59,1.93,a
20-09-20,Basel 2 : 2 Vaduz,BAS,222,2,7,2,7,2,0,4-2-3-1,0,5,23,5,550,88%,9,7,19,21%,149,51%,77,60%,72,42%,41,44%,21,52%,30,67%,59,9,41,5,10,60%,53%,68,49,16,859,693,81%,22%,8,10,0,486,4,68,12,18%,16,2,13%,10,6,60%,3,2,67%,5,3,60%,2,1,50%,0,0,0,0,0,0,6,5.32,38,20,6,4,67%,4,2,50%,1763.5,101,2.86,1.62,1.24,2.3,0.7,0.12,0.18,1.43,0.81,h
20-09-20,Lausanne-Sport 2 : 1 Servette,SER,205,1,6,1,9,2,0,4-4-2c,1,11,17,6,486,77%,10,3,22,23%,198,53%,73,60%,125,49%,69,49%,30,60%,19,42%,85,18,56,3,13,62%,54%,77,46,20,840,618,74%,35%,5,5,1,375,5,72,10,14%,15,0,0,15,4,27%,3,1,33%,11,2,18%,0,0,0,0,0,0,1,1,100%,8,4.3,37,16,8,5,63%,5,3,60%,1530.49,131,2.47,1.08,1.39,2.3,0.4,0.15,0.14,2.47,0.54,a
20-09-20,St. Gallen 1 : 0 Sion,SG,225,1,6,1,12,1,0,4-4-2d,4,6,17,4,527,81%,12,3,20,25%,162,52%,92,50%,70,56%,42,57%,29,69%,34,53%,68,7,57,11,10,40%,61%,81,66,16,855,654,76%,24%,9,3,1,428,5,75,7,9%,12,1,8%,15,7,47%,7,3,43%,6,4,67%,2,0,0,3,0,0,0,0,0,4,2.55,28,20,2,0,0,8,4,50%,1740.73,111,1.4,1.44,0.04,0.7,0.71,0.08,0.11,1.4,0,h
20-09-20,St. Gallen 1 : 0 Sion,SIO,200,0,5,0,13,2,1,3-5-2*,1,4,13,2,303,73%,9,5,14,14%,162,48%,70,44%,92,50%,42,43%,28,57%,36,44%,70,14,52,5,8,38%,39%,56,35,13,630,442,70%,15%,9,2,0,222,2,56,5,9%,18,2,11%,12,6,50%,6,4,67%,4,2,50%,2,0,0,0,0,0,0,0,0,3,4.16,12,2,5,2,40%,3,1,33%,1124.27,112,1.44,1.4,0.04,1.5,0,0.11,0.08,0,1.4,a
26-09-20,Sion 0 : 0 Young Boys,SIO,215,0,1,0,18,1,0,4-1-4-1,1,4,9,4,445,78%,5,1,13,23%,152,45%,85,58%,67,30%,54,44%,16,25%,23,61%,86,19,64,10,13,23%,44%,56,38,9,749,555,74%,44%,2,3,0,349,3,69,4,6%,8,0,0,8,4,50%,3,1,33%,4,2,50%,1,1,100%,1,0,0,0,0,0,3,4.71,31,15,2,1,50%,11,2,18%,1418.29,113,0.8,0.94,0.14,0.7,0,0.09,0.09,0,0,h
26-09-20,Sion 0 : 0 Young Boys,YB,228,0,3,0,13,3,0,4-4-2c,3,4,11,3,516,82%,7,2,12,42%,152,55%,67,70%,85,42%,54,56%,18,50%,20,80%,82,11,66,8,16,44%,56%,77,46,10,835,659,79%,27%,6,0,2,424,5,78,6,8%,18,2,11%,9,2,22%,5,1,20%,4,1,25%,0,0,0,1,0,0,0,0,0,7,5.29,33,20,8,3,38%,8,4,50%,1785.87,121,0.94,0.8,0.14,1.5,0,0.09,0.09,0,0,a
